tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt0061791	movie	How to Succeed in Business Without Really Trying	How to Succeed in Business Without Really Trying	0	1967	\N	121	"Comedy,Musical"	7.2	4236
tt0061796	movie	Hurry Sundown	Hurry Sundown	0	1967	\N	146	Drama	5.8	1046
tt0061809	movie	In Cold Blood	In Cold Blood	0	1967	\N	134	"Biography,Crime,Drama"	7.9	24211
tt0061810	movie	In Like Flint	In Like Flint	0	1967	\N	114	"Action,Adventure,Comedy"	6.2	5159
tt0061811	movie	In the Heat of the Night	In the Heat of the Night	0	1967	\N	110	"Crime,Drama,Mystery"	7.9	68355
tt0061814	movie	The Incident	The Incident	0	1967	\N	107	"Crime,Drama,Thriller"	7.7	3491
tt0061819	movie	Untamable Angelique	Indomptable Angélique	0	1967	\N	95	Adventure	6.6	1293
tt0061834	movie	I Am Curious (Yellow)	Jag är nyfiken - en film i gult	0	1967	\N	121	Drama	6.1	3544
tt0061842	movie	Jewel Thief	Jewel Thief	0	1967	\N	186	"Crime,Drama,Musical"	8	1732
tt0061847	movie	Samurai Rebellion	Jôi-uchi: Hairyô tsuma shimatsu	0	1967	\N	128	Drama	8.4	11197
tt0061852	movie	The Jungle Book	The Jungle Book	0	1967	\N	78	"Adventure,Animation,Family"	7.6	167402
tt0061855	movie	When I Am Dead and Gone	Kad budem mrtav i beo	0	1967	\N	79	"Drama,Music"	8.1	1088
